transaction_id,store_name,sales_channel,product_category,units_sold,unit_price,discount_applied,campaign_id,campaign_channel,marketing_spend,campaign_exposure_status,customer_id,customer_segment,inventory_level,stockout_flag,revenue
2409, Central Mall,App,Women,1,80,40,CAMP-A,Paid Ads,200,Clicked,CUST_1454,Loyal,Overstocked,Yes,56
5399, Central Mall,App,Women,2,60,40,CAMP-A,Social,200,Seen,CUST_514,Loyal,Optimal,Yes,120
6461, Central Mall,App,Women,1,120,40,CAMP-A,Influencer,50,Seen,CUST_242,Loyal,Overstocked,Yes,120
6395, Central Mall,App,Accessories,1,20,40,CAMP-B,Paid Ads,50,Seen,CUST_1603,Loyal,Optimal,Yes,20
974, Central Mall,App,Men,4,60,40,CAMP-B,Social,100,Seen,CUST_615,Loyal,Overstocked,Yes,240
1560, Central Mall,App,Men,1,20,40,CAMP-B,Email,50,Clicked,CUST_73,Loyal,Optimal,Yes,16
2145, Central Mall,App,Men,1,80,40,CAMP-B,Influencer,100,Clicked,CUST_419,Loyal,Optimal,Yes,80
5085, Central Mall,App,Men,3,20,40,CAMP-B,Paid Ads,100,Clicked,CUST_1639,Loyal,Understocked,Yes,60
5613, Central Mall,App,Shoes,1,40,40,CAMP-B,Paid Ads,100,Seen,CUST_2479,Loyal,Understocked,Yes,40
6352, Central Mall,App,Shoes,2,60,40,CAMP-B,Email,50,Converted,CUST_2108,Loyal,Understocked,Yes,96
5806, Central Mall,App,Women,2,60,40,CAMP-B,Paid Ads,100,Converted,CUST_1025,Loyal,Optimal,Yes,84
6265, Central Mall,App,Women,4,120,40,CAMP-B,Paid Ads,400,Converted,CUST_1401,Loyal,Optimal,Yes,480
6399, Central Mall,App,Women,1,60,40,CAMP-B,Paid Ads,50,Seen,CUST_1849,Loyal,Optimal,Yes,42
53, Central Mall,App,Men,1,20,40,CAMP-B,Social,400,Seen,CUST_1671,Loyal,Understocked,Yes,14
971, Central Mall,App,Men,1,40,40,CAMP-B,Paid Ads,100,Seen,CUST_47,Loyal,Overstocked,Yes,40
1307, Central Mall,App,Men,2,40,40,CAMP-B,Paid Ads,50,Seen,CUST_1738,Loyal,Understocked,No,80
4530, Central Mall,App,Men,3,120,40,CAMP-B,Paid Ads,400,Seen,CUST_1782,Loyal,Understocked,Yes,288
5658, Central Mall,App,Men,2,40,40,CAMP-B,Influencer,50,Clicked,CUST_295,Loyal,Optimal,Yes,80
6723, Central Mall,App,Men,1,60,40,CAMP-B,Email,100,Seen,CUST_2156,Loyal,Understocked,Yes,60
4069, Central Mall,App,Shoes,2,60,40,CAMP-B,Paid Ads,100,Seen,CUST_938,Loyal,Understocked,No,120
140, Central Mall,App,Women,2,40,40,CAMP-B,Email,50,Seen,CUST_1695,Loyal,Overstocked,Yes,56
2081, Central Mall,App,Women,1,40,40,CAMP-B,Influencer,400,Seen,CUST_1261,Loyal,Understocked,Yes,32
3428, Central Mall,App,Women,2,20,40,CAMP-B,Email,100,Seen,CUST_47,Loyal,Understocked,No,32
5151, Central Mall,App,Women,4,120,40,CAMP-B,Email,200,Clicked,CUST_491,Loyal,Overstocked,Yes,336
393, Central Mall,App,Men,1,60,40,CAMP-A,Social,200,Clicked,CUST_1309,Loyal,Overstocked,Yes,42
2250, Central Mall,App,Men,2,20,40,CAMP-A,Social,400,Clicked,CUST_806,Loyal,Overstocked,Yes,28
1022, Central Mall,App,Men,1,40,40,CAMP-A,Influencer,50,Clicked,CUST_1893,Loyal,Understocked,Yes,40
1331, Central Mall,App,Women,2,60,40,CAMP-A,Email,200,Seen,CUST_579,Loyal,Overstocked,No,120
1670, Central Mall,App,Women,2,60,40,CAMP-A,Paid Ads,100,Seen,CUST_1394,Loyal,Overstocked,Yes,96
2864, Central Mall,App,Women,2,20,40,CAMP-A,Influencer,50,Clicked,CUST_1171,Loyal,Overstocked,Yes,32
4203, Central Mall,App,Women,1,60,40,CAMP-A,Paid Ads,50,Seen,CUST_391,Loyal,Optimal,Yes,60
4018, Central Mall,App,Kids,1,20,40,CAMP-C,Email,200,Clicked,CUST_1592,Loyal,Understocked,Yes,20
6441, Central Mall,App,Kids,2,40,40,CAMP-C,Influencer,200,Clicked,CUST_57,Loyal,Understocked,Yes,80
782, Central Mall,App,Men,1,80,40,CAMP-C,Influencer,400,Seen,CUST_313,Loyal,Optimal,Yes,80
2649, Central Mall,App,Men,1,20,40,CAMP-C,Email,50,Seen,CUST_2472,Loyal,Understocked,Yes,16
5804, Central Mall,App,Men,3,20,40,CAMP-C,Influencer,400,Converted,CUST_897,Loyal,Optimal,Yes,60
6915, Central Mall,App,Women,2,40,40,CAMP-C,Social,50,Seen,CUST_863,Loyal,Understocked,No,56
3944, Central Mall,App,Accessories,3,20,40,CAMP-D,Influencer,200,Seen,CUST_1600,Loyal,Optimal,Yes,48
3115, Central Mall,App,Men,2,40,40,CAMP-D,Paid Ads,200,Clicked,CUST_324,Loyal,Understocked,Yes,64
3481, Central Mall,App,Shoes,4,40,40,CAMP-D,Email,100,Clicked,CUST_1036,Loyal,Overstocked,Yes,160
1397, Central Mall,App,Women,1,20,40,CAMP-D,Paid Ads,50,Seen,CUST_1190,Loyal,Overstocked,Yes,16
1881, Central Mall,App,Women,1,60,40,CAMP-D,Social,50,Seen,CUST_221,Loyal,Optimal,No,42
2050, Central Mall,App,Women,1,60,40,CAMP-D,Paid Ads,200,Seen,CUST_2064,Loyal,Overstocked,Yes,60
2561, Central Mall,App,Kids,1,40,40,CAMP-A,Paid Ads,100,Converted,CUST_123,Loyal,Understocked,Yes,40
2838, Central Mall,App,Shoes,4,20,40,CAMP-A,Influencer,400,Clicked,CUST_470,Loyal,Understocked,Yes,64
2085, Central Mall,App,Accessories,1,20,40,CAMP-E,Paid Ads,400,Converted,CUST_452,Loyal,Overstocked,Yes,20
2558, Central Mall,App,Accessories,2,80,40,CAMP-E,Influencer,50,Seen,CUST_1717,Loyal,Optimal,Yes,160
840, Central Mall,App,Men,2,60,40,CAMP-E,Influencer,50,Seen,CUST_1284,Loyal,Overstocked,Yes,120
540, Central Mall,App,Men,1,60,40,CAMP-E,Paid Ads,50,Seen,CUST_2291,Loyal,Understocked,Yes,48
1979, Central Mall,In-store,Accessories,1,20,40,CAMP-A,Influencer,50,Converted,CUST_395,Loyal,Optimal,Yes,14
5437, Central Mall,In-store,Accessories,1,60,40,CAMP-A,Social,50,Clicked,CUST_1714,Loyal,Understocked,Yes,60
3148, Central Mall,In-store,Men,1,40,40,CAMP-A,Influencer,100,Clicked,CUST_1016,Loyal,Optimal,No,40
6004, Central Mall,In-store,Men,4,20,40,CAMP-A,Influencer,400,Clicked,CUST_731,Loyal,Understocked,Yes,80
6213, Central Mall,In-store,Men,1,40,40,CAMP-A,Paid Ads,50,Seen,CUST_2207,Loyal,Understocked,Yes,40
105, Central Mall,In-store,Women,2,80,40,CAMP-A,Influencer,50,Seen,CUST_2344,Loyal,Optimal,No,128
1160, Central Mall,In-store,Women,2,40,40,CAMP-A,Influencer,50,Converted,CUST_1524,Loyal,Understocked,Yes,64
1172, Central Mall,In-store,Women,2,20,40,CAMP-A,Paid Ads,50,Clicked,CUST_1164,Loyal,Overstocked,Yes,28
5417, Central Mall,In-store,Women,4,80,40,CAMP-A,Influencer,100,Seen,CUST_2262,Loyal,Overstocked,Yes,256
2199, Central Mall,In-store,Accessories,4,40,40,CAMP-A,Influencer,50,Clicked,CUST_2423,Loyal,Optimal,Yes,160
3282, Central Mall,In-store,Accessories,1,20,40,CAMP-A,Influencer,200,Seen,CUST_2466,Loyal,Overstocked,Yes,14
3329, Central Mall,In-store,Accessories,2,20,40,CAMP-A,Paid Ads,100,Seen,CUST_592,Loyal,Understocked,Yes,28
3940, Central Mall,In-store,Kids,2,20,40,CAMP-A,Paid Ads,200,Seen,CUST_630,Loyal,Understocked,Yes,40
394, Central Mall,In-store,Men,1,120,40,CAMP-A,Paid Ads,50,Seen,CUST_385,Loyal,Optimal,Yes,84
1045, Central Mall,In-store,Men,3,40,40,CAMP-A,Email,100,Clicked,CUST_685,Loyal,Understocked,No,120
1767, Central Mall,In-store,Men,1,80,40,CAMP-A,Paid Ads,200,Seen,CUST_1187,Loyal,Optimal,Yes,64
2714, Central Mall,In-store,Men,3,40,40,CAMP-A,Influencer,100,Seen,CUST_698,Loyal,Overstocked,Yes,84
89, Central Mall,In-store,Men,2,80,40,CAMP-A,Paid Ads,50,Clicked,CUST_322,Loyal,Understocked,Yes,160
153, Central Mall,In-store,Women,2,60,40,CAMP-A,Paid Ads,200,Seen,CUST_2463,Loyal,Understocked,Yes,96
687, Central Mall,In-store,Women,2,80,40,CAMP-A,Paid Ads,200,Seen,CUST_739,Loyal,Optimal,No,160
2098, Central Mall,In-store,Women,1,40,40,CAMP-A,Paid Ads,200,Seen,CUST_1035,Loyal,Optimal,Yes,40
5483, Central Mall,In-store,Women,4,40,40,CAMP-A,Influencer,50,Seen,CUST_819,Loyal,Understocked,Yes,160
1157, Central Mall,In-store,Accessories,2,20,40,CAMP-A,Email,100,Converted,CUST_2212,Loyal,Understocked,Yes,40
5288, Central Mall,In-store,Accessories,1,40,40,CAMP-A,Paid Ads,100,Clicked,CUST_1486,Loyal,Overstocked,No,28
5906, Central Mall,In-store,Accessories,1,40,40,CAMP-A,Social,100,Converted,CUST_493,Loyal,Understocked,No,32
120, Central Mall,In-store,Kids,1,60,40,CAMP-A,Email,100,Clicked,CUST_485,Loyal,Understocked,Yes,60
639, Central Mall,In-store,Kids,1,40,40,CAMP-A,Paid Ads,200,Seen,CUST_2493,Loyal,Understocked,Yes,40
622, Central Mall,In-store,Men,3,60,40,CAMP-A,Paid Ads,50,Converted,CUST_1116,Loyal,Optimal,Yes,126
5364, Central Mall,In-store,Men,1,40,40,CAMP-A,Paid Ads,200,Seen,CUST_447,Loyal,Understocked,Yes,32
1211, Central Mall,In-store,Men,1,40,40,CAMP-A,Paid Ads,200,Seen,CUST_66,Loyal,Overstocked,No,28
5965, Central Mall,In-store,Shoes,3,80,40,CAMP-A,Paid Ads,100,Clicked,CUST_874,Loyal,Optimal,Yes,240
3574, Central Mall,In-store,Women,1,60,40,CAMP-A,Email,200,Seen,CUST_2205,Loyal,Optimal,Yes,60
4577, Central Mall,In-store,Women,1,20,40,CAMP-A,Paid Ads,200,Seen,CUST_1714,Loyal,Overstocked,Yes,20
4651, Central Mall,In-store,Women,2,120,40,CAMP-A,Paid Ads,50,Converted,CUST_2,Loyal,Understocked,Yes,240
5630, Central Mall,In-store,Women,3,40,40,CAMP-A,Paid Ads,100,Clicked,CUST_70,Loyal,Overstocked,Yes,120
2739, Central Mall,In-store,Accessories,2,40,40,CAMP-B,Influencer,50,Converted,CUST_1903,Loyal,Overstocked,No,80
4221, Central Mall,In-store,Accessories,1,60,40,CAMP-B,Paid Ads,200,Converted,CUST_751,Loyal,Optimal,Yes,60
5732, Central Mall,In-store,Kids,1,20,40,CAMP-B,Paid Ads,400,Seen,CUST_1068,Loyal,Understocked,Yes,20
2615, Central Mall,In-store,Men,1,20,40,CAMP-B,Email,200,Seen,CUST_1578,Loyal,Understocked,No,20
3079, Central Mall,In-store,Men,1,40,40,CAMP-B,Social,100,Seen,CUST_1506,Loyal,Optimal,Yes,40
5538, Central Mall,In-store,Men,1,40,40,CAMP-B,Influencer,100,Seen,CUST_1610,Loyal,Understocked,Yes,32
6054, Central Mall,In-store,Men,2,60,40,CAMP-B,Email,50,Seen,CUST_2055,Loyal,Optimal,Yes,120
5003, Central Mall,In-store,Shoes,4,40,40,CAMP-B,Social,100,Clicked,CUST_1076,Loyal,Optimal,Yes,112
2687, Central Mall,In-store,Women,4,40,40,CAMP-B,Email,50,Clicked,CUST_1704,Loyal,Understocked,No,128
5306, Central Mall,In-store,Women,4,60,40,CAMP-B,Social,50,Seen,CUST_1785,Loyal,Understocked,No,192
5711, Central Mall,In-store,Women,2,20,40,CAMP-B,Influencer,200,Seen,CUST_1110,Loyal,Optimal,Yes,40
2495, Central Mall,In-store,Men,1,80,40,CAMP-B,Paid Ads,50,Seen,CUST_1988,Loyal,Optimal,Yes,56
4138, Central Mall,In-store,Men,1,20,40,CAMP-B,Paid Ads,200,Seen,CUST_2047,Loyal,Overstocked,Yes,16
6277, Central Mall,In-store,Men,1,20,40,CAMP-B,Influencer,100,Seen,CUST_1728,Loyal,Optimal,No,14
6353, Central Mall,In-store,Men,3,40,40,CAMP-B,Influencer,100,Clicked,CUST_1695,Loyal,Optimal,No,96
2306, Central Mall,In-store,Shoes,2,60,40,CAMP-B,Paid Ads,200,Clicked,CUST_257,Loyal,Understocked,No,96
3762, Central Mall,In-store,Shoes,4,20,40,CAMP-B,Paid Ads,200,Seen,CUST_764,Loyal,Understocked,No,80
3915, Central Mall,In-store,Shoes,1,120,40,CAMP-B,Email,50,Seen,CUST_1989,Loyal,Understocked,Yes,120
74, Central Mall,In-store,Women,1,20,40,CAMP-B,Paid Ads,50,Seen,CUST_1141,Loyal,Optimal,Yes,16
1512, Central Mall,In-store,Women,2,60,40,CAMP-B,Influencer,50,Converted,CUST_2437,Loyal,Optimal,Yes,96
3055, Central Mall,In-store,Women,1,40,40,CAMP-B,Influencer,200,Seen,CUST_932,Loyal,Optimal,Yes,40
4015, Central Mall,In-store,Women,1,60,40,CAMP-B,Email,200,Seen,CUST_952,Loyal,Optimal,Yes,48
1257, Central Mall,In-store,Men,2,40,40,CAMP-A,Paid Ads,50,Seen,CUST_205,Loyal,Overstocked,Yes,80
3788, Central Mall,In-store,Men,2,60,40,CAMP-A,Influencer,400,Seen,CUST_171,Loyal,Understocked,Yes,120
6891, Central Mall,In-store,Men,1,40,40,CAMP-A,Social,100,Seen,CUST_1585,Loyal,Overstocked,Yes,40
2225, Central Mall,In-store,Shoes,1,60,40,CAMP-A,Influencer,100,Seen,CUST_513,Loyal,Optimal,Yes,48
3184, Central Mall,In-store,Women,2,20,40,CAMP-A,Email,50,Seen,CUST_320,Loyal,Optimal,Yes,32
5093, Central Mall,In-store,Women,2,80,40,CAMP-A,Social,100,Seen,CUST_1685,Loyal,Optimal,Yes,160
6453, Central Mall,In-store,Women,2,40,40,CAMP-A,Paid Ads,200,Seen,CUST_402,Loyal,Understocked,Yes,80
6937, Central Mall,In-store,Women,3,20,40,CAMP-A,Paid Ads,200,Seen,CUST_1989,Loyal,Optimal,Yes,60
237, Central Mall,In-store,Men,1,120,40,CAMP-C,Influencer,200,Clicked,CUST_628,Loyal,Understocked,Yes,120
313, Central Mall,In-store,Men,1,40,40,CAMP-C,Paid Ads,200,Seen,CUST_279,Loyal,Optimal,Yes,28
873, Central Mall,In-store,Men,1,80,40,CAMP-C,Influencer,400,Seen,CUST_74,Loyal,Understocked,Yes,80
2927, Central Mall,In-store,Shoes,1,40,40,CAMP-C,Paid Ads,100,Seen,CUST_1099,Loyal,Overstocked,Yes,32
1111, Central Mall,In-store,Women,1,60,40,CAMP-C,Influencer,400,Seen,CUST_1243,Loyal,Understocked,Yes,42
1329, Central Mall,In-store,Women,3,20,40,CAMP-C,Influencer,200,Clicked,CUST_2305,Loyal,Overstocked,Yes,60
1523, Central Mall,In-store,Women,1,40,40,CAMP-C,Paid Ads,200,Seen,CUST_221,Loyal,Optimal,No,32
1210, Central Mall,In-store,Accessories,2,40,40,CAMP-D,Influencer,400,Seen,CUST_386,Loyal,Understocked,No,64
1070, Central Mall,In-store,Men,3,20,40,CAMP-D,Influencer,50,Seen,CUST_1440,Loyal,Optimal,Yes,48
2033, Central Mall,In-store,Shoes,1,80,40,CAMP-D,Influencer,50,Seen,CUST_1565,Loyal,Overstocked,Yes,64
1664, Central Mall,In-store,Women,2,40,40,CAMP-D,Paid Ads,50,Seen,CUST_1877,Loyal,Overstocked,Yes,80
5218, Central Mall,In-store,Women,1,20,40,CAMP-D,Influencer,200,Seen,CUST_1892,Loyal,Understocked,Yes,20
1080, Central Mall,In-store,Accessories,2,120,40,CAMP-A,Email,200,Seen,CUST_228,Loyal,Understocked,No,168
1205, Central Mall,In-store,Accessories,2,40,40,CAMP-A,Influencer,100,Seen,CUST_1525,Loyal,Overstocked,Yes,80
99, Central Mall,In-store,Men,1,60,40,CAMP-A,Email,200,Seen,CUST_2043,Loyal,Optimal,Yes,48
616, Central Mall,In-store,Men,1,80,40,CAMP-A,Influencer,100,Seen,CUST_2067,Loyal,Optimal,Yes,56
1647, Central Mall,In-store,Men,1,80,40,CAMP-A,Email,100,Seen,CUST_1973,Loyal,Overstocked,Yes,56
2247, Central Mall,In-store,Men,1,120,40,CAMP-A,Social,50,Clicked,CUST_993,Loyal,Optimal,Yes,120
3405, Central Mall,In-store,Men,4,40,40,CAMP-A,Paid Ads,50,Clicked,CUST_2453,Loyal,Optimal,Yes,112
5749, Central Mall,In-store,Men,4,120,40,CAMP-A,Influencer,100,Seen,CUST_1239,Loyal,Understocked,Yes,336
6155, Central Mall,In-store,Shoes,3,120,40,CAMP-A,Email,400,Seen,CUST_1710,Loyal,Overstocked,Yes,288
6514, Central Mall,In-store,Shoes,1,20,40,CAMP-A,Paid Ads,50,Clicked,CUST_1007,Loyal,Understocked,No,20
2105, Central Mall,In-store,Women,1,40,40,CAMP-A,Paid Ads,50,Seen,CUST_621,Loyal,Optimal,Yes,40
2607, Central Mall,In-store,Women,1,20,40,CAMP-A,Influencer,400,Seen,CUST_2039,Loyal,Optimal,No,14
3260, Central Mall,In-store,Women,1,60,40,CAMP-A,Paid Ads,100,Seen,CUST_1508,Loyal,Overstocked,Yes,60
3743, Central Mall,In-store,Women,2,60,40,CAMP-A,Social,400,Clicked,CUST_586,Loyal,Optimal,Yes,120
4220, Central Mall,In-store,Women,1,40,40,CAMP-A,Email,200,Seen,CUST_602,Loyal,Overstocked,Yes,28
4565, Central Mall,In-store,Women,1,40,40,CAMP-A,Influencer,100,Seen,CUST_349,Loyal,Understocked,Yes,32
1351, Central Mall,In-store,Accessories,2,20,40,CAMP-E,Email,50,Seen,CUST_411,Loyal,Understocked,Yes,40
1116, Central Mall,In-store,Men,3,40,40,CAMP-E,Paid Ads,400,Clicked,CUST_337,Loyal,Overstocked,Yes,120
2749, Central Mall,In-store,Men,2,60,40,CAMP-E,Influencer,200,Clicked,CUST_1941,Loyal,Overstocked,No,120
774, Central Mall,In-store,Women,1,20,40,CAMP-E,Email,400,Seen,CUST_1132,Loyal,Understocked,Yes,20
1875, Central Mall,In-store,Women,1,40,40,CAMP-E,Email,100,Clicked,CUST_166,Loyal,Overstocked,Yes,40
1950, Central Mall,In-store,Women,1,40,40,CAMP-E,Paid Ads,100,Clicked,CUST_746,Loyal,Optimal,Yes,32
2064, Central Mall,In-store,Women,2,40,40,CAMP-E,Paid Ads,200,Clicked,CUST_1102,Loyal,Understocked,No,56
2010, Central Mall,In-store,Accessories,4,120,40,CAMP-A,Paid Ads,50,Seen,CUST_173,Loyal,Overstocked,Yes,480
3173, Central Mall,In-store,Kids,4,40,40,CAMP-A,Influencer,100,Seen,CUST_1472,Loyal,Optimal,No,128
1526, Central Mall,In-store,Men,1,40,40,CAMP-A,Social,50,Seen,CUST_483,Loyal,Overstocked,Yes,40
2553, Central Mall,In-store,Men,1,40,40,CAMP-A,Influencer,100,Seen,CUST_2372,Loyal,Optimal,Yes,32
3131, Central Mall,In-store,Men,2,20,40,CAMP-A,Paid Ads,200,Clicked,CUST_574,Loyal,Understocked,Yes,40
5167, Central Mall,In-store,Shoes,1,60,40,CAMP-A,Paid Ads,50,Converted,CUST_80,Loyal,Understocked,Yes,60
1469, Central Mall,In-store,Women,1,120,40,CAMP-A,Paid Ads,50,Seen,CUST_2357,Loyal,Understocked,Yes,120
3808, Central Mall,In-store,Women,1,40,40,CAMP-A,Email,200,Seen,CUST_2115,Loyal,Overstocked,Yes,32
5293, Central Mall,In-store,Women,4,80,40,CAMP-A,Social,100,Seen,CUST_2450,Loyal,Overstocked,No,320
5552, Central Mall,In-store,Women,3,80,40,CAMP-A,Social,400,Clicked,CUST_307,Loyal,Overstocked,Yes,240
225, Central Mall,In-store,Accessories,3,40,40,CAMP-C,Email,100,Clicked,CUST_2312,Loyal,Overstocked,No,84
2470, Central Mall,In-store,Accessories,2,40,40,CAMP-A,Social,50,Seen,CUST_2165,Loyal,Understocked,No,80
2646, Central Mall,In-store,Accessories,1,120,40,CAMP-A,Email,100,Seen,CUST_733,Loyal,Understocked,Yes,120
76, Central Mall,In-store,Kids,1,60,40,CAMP-A,Email,200,Seen,CUST_2172,Loyal,Overstocked,Yes,42
2981, Central Mall,In-store,Kids,4,40,40,CAMP-A,Paid Ads,50,Converted,CUST_1726,Loyal,Understocked,Yes,128
5114, Central Mall,In-store,Kids,3,60,40,CAMP-A,Email,50,Seen,CUST_2048,Loyal,Understocked,Yes,144
3708, Central Mall,In-store,Men,1,40,40,CAMP-A,Paid Ads,400,Seen,CUST_1705,Loyal,Understocked,No,40
1768, Central Mall,In-store,Shoes,3,40,40,CAMP-A,Influencer,50,Clicked,CUST_1700,Loyal,Optimal,Yes,96
2661, Central Mall,In-store,Women,1,60,40,CAMP-A,Influencer,200,Clicked,CUST_479,Loyal,Overstocked,Yes,48
102, Central Mall,In-store,Men,1,20,40,CAMP-A,Influencer,50,Seen,CUST_120,Loyal,Overstocked,Yes,16
218, Central Mall,In-store,Men,2,40,40,CAMP-A,Paid Ads,100,Converted,CUST_1849,Loyal,Overstocked,No,64
1673, Central Mall,In-store,Men,1,20,40,CAMP-A,Paid Ads,50,Seen,CUST_1223,Loyal,Understocked,Yes,20
2034, Central Mall,In-store,Men,1,60,40,CAMP-A,Social,50,Clicked,CUST_2039,Loyal,Optimal,Yes,60
3309, Central Mall,In-store,Men,1,40,40,CAMP-A,Paid Ads,50,Clicked,CUST_136,Loyal,Optimal,Yes,32
3454, Central Mall,In-store,Men,1,40,40,CAMP-A,Social,200,Clicked,CUST_2126,Loyal,Understocked,Yes,32
4633, Central Mall,In-store,Men,2,20,40,CAMP-A,Social,100,Seen,CUST_2423,Loyal,Optimal,Yes,28
6308, Central Mall,In-store,Men,2,60,40,CAMP-A,Social,50,Seen,CUST_2479,Loyal,Optimal,Yes,96
108, Central Mall,In-store,Women,1,40,40,CAMP-A,Influencer,50,Seen,CUST_248,Loyal,Optimal,Yes,40
1175, Central Mall,In-store,Women,1,20,40,CAMP-A,Influencer,50,Seen,CUST_136,Loyal,Overstocked,Yes,20
4133, Central Mall,In-store,Women,1,40,40,CAMP-A,Email,50,Seen,CUST_305,Loyal,Optimal,No,32
5779, Central Mall,In-store,Women,2,60,40,CAMP-A,Email,400,Seen,CUST_323,Loyal,Overstocked,Yes,120
3317, Central Mall,In-store,Accessories,1,40,40,CAMP-B,Paid Ads,200,Seen,CUST_9,Loyal,Overstocked,No,40
3636, Central Mall,In-store,Accessories,1,20,40,CAMP-B,Paid Ads,100,Seen,CUST_841,Loyal,Understocked,No,16
4953, Central Mall,In-store,Accessories,2,60,40,CAMP-B,Paid Ads,50,Seen,CUST_1880,Loyal,Understocked,Yes,120
5778, Central Mall,In-store,Accessories,1,20,40,CAMP-B,Social,50,Converted,CUST_2365,Loyal,Understocked,Yes,20
1371, Central Mall,In-store,Men,1,20,40,CAMP-B,Paid Ads,200,Seen,CUST_176,Loyal,Understocked,Yes,16
2185, Central Mall,In-store,Men,1,60,40,CAMP-B,Influencer,50,Clicked,CUST_1047,Loyal,Overstocked,Yes,60
5485, Central Mall,In-store,Men,3,40,40,CAMP-B,Email,400,Seen,CUST_1815,Loyal,Optimal,No,120
5964, Central Mall,In-store,Men,2,60,40,CAMP-B,Paid Ads,100,Clicked,CUST_2154,Loyal,Optimal,Yes,96
6307, Central Mall,In-store,Men,4,40,40,CAMP-B,Influencer,200,Seen,CUST_2187,Loyal,Overstocked,No,112
3888, Central Mall,In-store,Shoes,2,60,40,CAMP-B,Influencer,100,Converted,CUST_87,Loyal,Understocked,No,120
2960, Central Mall,In-store,Women,2,120,40,CAMP-B,Email,50,Seen,CUST_1780,Loyal,Understocked,Yes,240
3404, Central Mall,In-store,Women,2,60,40,CAMP-B,Social,200,Converted,CUST_2011,Loyal,Understocked,No,96
3630, Central Mall,In-store,Women,1,20,40,CAMP-B,Paid Ads,100,Clicked,CUST_1871,Loyal,Optimal,No,16
5287, Central Mall,In-store,Women,2,40,40,CAMP-B,Paid Ads,200,Seen,CUST_462,Loyal,Understocked,Yes,80
4373, Central Mall,In-store,Accessories,1,120,40,CAMP-B,Email,50,Clicked,CUST_2227,Loyal,Optimal,No,96
6137, Central Mall,In-store,Accessories,1,80,40,CAMP-B,Influencer,200,Seen,CUST_100,Loyal,Understocked,Yes,80
1830, Central Mall,In-store,Kids,4,40,40,CAMP-B,Paid Ads,200,Seen,CUST_560,Loyal,Understocked,Yes,160
2572, Central Mall,In-store,Men,2,40,40,CAMP-B,Influencer,100,Clicked,CUST_2312,Loyal,Understocked,Yes,80
4300, Central Mall,In-store,Men,4,20,40,CAMP-B,Paid Ads,100,Seen,CUST_265,Loyal,Optimal,No,64
4482, Central Mall,In-store,Men,1,120,40,CAMP-B,Social,50,Seen,CUST_1199,Loyal,Optimal,Yes,120
1546, Central Mall,In-store,Shoes,2,60,40,CAMP-B,Paid Ads,400,Seen,CUST_2381,Loyal,Overstocked,Yes,120
2011, Central Mall,In-store,Shoes,1,40,40,CAMP-B,Social,100,Seen,CUST_258,Loyal,Understocked,Yes,40
5800, Central Mall,In-store,Shoes,1,60,40,CAMP-B,Influencer,50,Seen,CUST_2149,Loyal,Understocked,Yes,48
